ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה בתוקף לשנה,היתר קרינה,עוצמת הקרינה,תוצאה מירבית ב% ביחס לסף הבריאות,תאור נקודה בה התקבלה תוצאה מירבית,קובץ הקמה,קובץ הפעלה,area
5747,סלקום,6257,בני ברק,רח` בן גוריון 1,בני ברק,בני ברק,183350,667031,אתר זעיר פנימי,26/11/2017,26/04/2018,2019-12-11 00:00:00,יש היתר,38.52,6.842,רצפה,http://documents.sviva.gov.il/B001_2_6257_20171126_0841.pdf,http://documents.sviva.gov.il/B002_2_6257_20180426_1448.pdf,
5748,סלקום,6258,רמת גן,רח` בן גוריון 2,רמת גן,רמת גן,183300,667020,אתר זעיר פנימי,14/09/2016,26/08/2018,2019-07-05 00:00:00,יש היתר,20.377,4.084,רצפה,http://documents.sviva.gov.il/B001_2_6258_20160914_0854.pdf,http://documents.sviva.gov.il/B002_2_6258_20180826_1326.pdf,8600113
5749,סלקום,6263,מעלה אדומים,מעלה אדומים שכ` 07 מזרח,מעלה אדומים,מעלה אדומים,230587,631436,תורן קרקעי,20/03/2013,25/10/2016,13/02/2019,יש היתר,0.6,0.08,קרקע,http://documents.sviva.gov.il/B001_2_6263_20130320_1005.pdf,http://documents.sviva.gov.il/B002_2_6263_20161025_0905.pdf,36162
5750,סלקום,6273,רעים,רעים,אשכול,אשכול,147410,586184,תורן קרקעי,18/11/2012,16/10/2017,13/05/2019,יש היתר,6.36,0.82,בתוך סדנא,http://documents.sviva.gov.il/B001_2_6273_20121119_0922.pdf,http://documents.sviva.gov.il/B002_2_6273_20171016_1355.pdf,
5751,סלקום,6276,יהוד,וייצמן,יהוד,יהוד מונוסון,189889,659766,מתקן גישה אלחוטי,29/10/2017,15/01/2018,20/08/2019,יש היתר,66.73,6.6,גג שכן פנטהאוז צמוד,http://documents.sviva.gov.il/B001_2_6276_20171029_0820.pdf,http://documents.sviva.gov.il/B002_2_6276_20180115_0900.pdf,94004
5752,סלקום,6278,בילו,"צומת ביל""ו",גזר,כפר ביל''ו,183080,642088,תורן קרקעי,15/06/2014,23/02/2020,2019-04-12 00:00:00,יש היתר,6.56,0.02,תחנת אוטובוס,http://documents.sviva.gov.il/B001_2_6278_20140615_0951.pdf,http://documents.sviva.gov.il/B002_2_6278_20200223_1520.pdf,
5753,סלקום,6279,רחובות,כביש עוקף רחובות מערבי,רחובות,רחובות,181237,645893,תורן קרקעי,17/07/2014,18/06/2019,2019-01-05 00:00:00,יש היתר,43.12,5.4,קרקע,http://documents.sviva.gov.il/B001_2_6279_20140717_0906.pdf,http://documents.sviva.gov.il/B002_2_6279_20190618_1119.pdf,
5754,סלקום,6284,תל אביב -יפו,רח` אבן גבירול 124,תל אביב -יפו,תל אביב יפו,179613,666031,אתר זעיר פנימי,14/09/2016,31/01/2019,16/07/2019,יש היתר,32.936,6.956,רצפה,http://documents.sviva.gov.il/B001_2_6284_20160914_1401.pdf,http://documents.sviva.gov.il/B002_2_6284_20190131_1537.pdf,
5755,סלקום,6311,קרית מלאכי,"רח` המ""ג",קריית מלאכי,קרית מלאכי,175842,626207,מתקן גישה אלחוטי,2010-12-12 00:00:00,14/05/2019,2019-02-04 00:00:00,יש היתר,76.62,8.02,מרפסת שכן צפוני,,http://documents.sviva.gov.il/B002_2_6311_20190514_0948.pdf,10345
5756,סלקום,6312,קרית מלאכי,צפונית לבית עלמין קרית מלאכי,קריית מלאכי,קרית מלאכי,176047,627552,תורן קרקעי,15/02/2010,2020-11-02 00:00:00,22/12/2019,יש היתר,2.03,0.27,קרקע,http://documents.sviva.gov.il/B001_2_6312_20190925_1115.pdf,http://documents.sviva.gov.il/B002_2_6312_20200211_1728.pdf,
5757,סלקום,6324,נחם,"עמוד חח""י J5 מושב נחם",מטה יהודה,מטה יהודה,200449,629775,תורן קרקעי,2006-02-11 00:00:00,2018-09-07 00:00:00,2019-07-04 00:00:00,יש היתר,0.451,0.046,שטח חקלאי פתוח,http://documents.sviva.gov.il/B001_2_6324_20121015_0812.pdf,http://documents.sviva.gov.il/B002_2_6324_20180709_1457.pdf,
5758,סלקום,6330,עתלית,רח` גבעת הבריכות,חוף הכרמל,עתלית,194968,732824,מתקן גישה אלחוטי,29/12/2016,20/12/2017,2019-01-09 00:00:00,יש היתר,9.679,1.502,בבית פרטי קומה 1,http://documents.sviva.gov.il/B001_2_6330_20190207_1707.pdf,http://documents.sviva.gov.il/B002_2_6330_20171220_0917.pdf,
5759,סלקום,6339,בת ים,רח` בנובמבר 27,בת ים,בת ים,177145,657475,מתקן גישה אלחוטי,2014-02-06 00:00:00,23/02/2020,23/12/2019,יש היתר,30.44,4,"כ""ט בנובמבר 29 קומה עליונה",http://documents.sviva.gov.il/B001_2_6339_20140602_0844.pdf,http://documents.sviva.gov.il/B002_2_6339_20200223_1523.pdf,6200512
5760,סלקום,6352,כפר אדומים,מגדל מים אלון,מטה בנימין,מטה בנימין,233443,637921,אנטנה משתפלת,18/03/2013,28/05/2017,18/02/2020,יש היתר,7.03,1.1,בתוך קרוואן דרומי,http://documents.sviva.gov.il/B001_2_6352_20130318_1557.pdf,http://documents.sviva.gov.il/B002_2_6352_20170528_1003.pdf,
5761,סלקום,6356,הוד השרון,רח` אסירי ציון,הוד השרון,הוד השרון,191589,675055,תורן קרקעי,2014-09-01 00:00:00,18/10/2018,2019-05-03 00:00:00,יש היתר,1.07,0.11,קרקע,http://documents.sviva.gov.il/B001_2_6356_20140109_1238.pdf,http://documents.sviva.gov.il/B002_2_6356_20181018_0838.pdf,970012
5762,סלקום,6359,אילת,בית חולים יוספטל,אילת,אילת,193760,385151,תורן קרקעי,17/05/2012,19/04/2015,26/02/2020,יש היתר,0.597,0.136,"במתנ""ס קומת קרקע",http://documents.sviva.gov.il/B001_2_6359_20190925_1231.pdf,http://documents.sviva.gov.il/B002_2_6359_20150419_1045.pdf,
5763,סלקום,6360,פלמחים,א.ת.סמוך לפלמחים,גן רווה,גן רווה,173094,649073,תורן קרקעי,18/12/2013,23/02/2020,2019-05-11 00:00:00,יש היתר,1.7,0.17,קרקע,http://documents.sviva.gov.il/B001_2_6360_20131218_0842.pdf,http://documents.sviva.gov.il/B002_2_6360_20200223_1524.pdf,
5764,סלקום,6364,רקפת,מועצה אזורית משגב,משגב,מרכז אזורי מישגב,224765,751570,מתקן גישה אלחוטי,16/01/2017,19/01/2020,2019-08-09 00:00:00,יש היתר,42.3,4.48,קופת חולים כללית,http://documents.sviva.gov.il/B001_2_6364_20170116_1207.pdf,http://documents.sviva.gov.il/B002_2_6364_20200119_1322.pdf,
5765,סלקום,6375,דימונה,רח` הנשיא,דימונה,דימונה,203101,552615,אנטנת עוקץ,2014-09-03 00:00:00,19/04/2015,16/02/2020,יש היתר,1.17,0.266,בקומה עליונה מתחת לאנטנות,http://documents.sviva.gov.il/B001_2_6375_20140309_0825.pdf,http://documents.sviva.gov.il/B002_2_6375_20150419_1048.pdf,22004
5766,סלקום,6378,ירושלים,רח` הרי טרומן פינת סילבר,ירושלים,ירושלים,219764,635923,תורן קרקעי,15/05/2017,2018-01-05 00:00:00,16/12/2019,יש היתר,26.0,3.36,מבנה מגורים בבנייה,http://documents.sviva.gov.il/B001_2_6378_20181111_0908.pdf,http://documents.sviva.gov.il/B002_2_6378_20180501_1134.pdf,3000421
5767,סלקום,6379,ירושלים,שכ` נוף ציון ג`בל מוכבר,ירושלים,ירושלים,223282,628973,מתקן גישה אלחוטי,2017-12-03 00:00:00,2017-10-07 00:00:00,20/03/2019,יש היתר,5.25,1.15,בתוך מבנה מגורים,http://documents.sviva.gov.il/B001_2_6379_20170312_0801.pdf,http://documents.sviva.gov.il/B002_2_6379_20170710_0836.pdf,
5768,סלקום,6382,טמרה,מרכז טמרה,טמרה,טמרה,218842,750952,מתקן גישה אלחוטי,2017-02-03 00:00:00,28/01/2018,2019-06-10 00:00:00,יש היתר,47.23,5.86,מבנה מגורים מצפון מערב,http://documents.sviva.gov.il/B001_2_6382_20170302_0908.pdf,http://documents.sviva.gov.il/B002_2_6382_20180128_0919.pdf,89006
5769,סלקום,6386,נווה זוהר,"עמוד חח""י 6458 עין בוקק",תמר,תמר,234119,567390,תורן קרקעי,29/05/2014,21/06/2015,13/02/2020,יש היתר,3.066,0.695,במפלס הקרקע,http://documents.sviva.gov.il/B001_2_6386_20140529_1041.pdf,http://documents.sviva.gov.il/B002_2_6386_20150621_0756.pdf,
5770,סלקום,6390,כפר עציון,כפר עציון,גוש עציון,גוש עציון,210913,617191,תורן קרקעי,2009-08-09 00:00:00,19/04/2015,2020-04-02 00:00:00,יש היתר,0.265,0.06,במזנון,,http://documents.sviva.gov.il/B002_2_6390_20150419_1050.pdf,
5771,סלקום,6391,תל אביב -יפו,רח` ניסים אלוני 21,תל אביב -יפו,תל אביב יפו,180960,666430,אתר זעיר פנימי,2014-09-07 00:00:00,2019-02-01 00:00:00,2019-08-04 00:00:00,יש היתר,42.022,7.653,במפלס הרצפה,http://documents.sviva.gov.il/B001_2_6391_20160828_0941.pdf,http://documents.sviva.gov.il/B002_2_6391_20190102_1518.pdf,
5772,סלקום,6395,שדה משה,מחלף כביש 6 שדה משה,לכיש,יואב,182044,611165,תורן קרקעי,18/03/2012,22/05/2018,2019-02-12 00:00:00,יש היתר,9.296,0.861,קרקע,http://documents.sviva.gov.il/B001_2_6395_20190923_1046.pdf,http://documents.sviva.gov.il/B002_2_6395_20180522_0918.pdf,
5773,סלקום,6397,אחוזם,בריכת מים - כביש 6,לכיש,לכיש,180691,605487,תורן קרקעי,2013-09-10 00:00:00,22/05/2019,2019-02-12 00:00:00,יש היתר,0.91,0.14,קרקע,http://documents.sviva.gov.il/B001_2_6397_20190729_1502.pdf,http://documents.sviva.gov.il/B002_2_6397_20190522_1401.pdf,
